user,system,elapsed
16.125,3.484,20.710
74.019,2.303,79.217
59.703,1.661,63.973
59.599,1.618,62.370
57.632,1.359,59.437
59.298,1.713,62.175
62.572,2.372,68.305
62.616,2.159,65.993
62.428,2.143,65.569
59.019,1.472,61.112
58.968,1.641,61.549
62.287,1.847,66.272
60.199,2.028,64.388
56.752,1.486,58.740
56.510,1.921,58.604
58.240,1.742,61.749
62.568,2.448,67.419
61.823,1.936,64.405
60.595,2.183,63.276
62.964,2.795,69.030
62.109,2.250,65.278
62.664,2.116,66.321
62.500,2.593,66.093
62.651,2.394,65.728
63.636,2.461,69.364
63.307,2.608,69.234
63.144,2.300,66.539
62.691,2.302,65.832
62.590,2.574,66.201
63.889,2.820,67.707
63.465,2.172,66.934
64.251,2.794,70.773
59.325,2.059,62.178
57.740,1.648,59.736
57.791,1.756,59.922
63.429,2.901,69.627
62.924,2.788,68.452
18.431,6.700,28.182
18.743,6.465,26.237
20.596,6.942,28.662
23.073,7.977,33.344
22.781,7.928,31.968
23.440,8.264,32.695
21.823,7.353,30.151
21.050,6.942,28.622
20.986,6.728,27.887
22.427,7.217,29.906
23.217,8.047,32.818
23.861,8.186,32.782
25.496,9.152,36.280
23.617,7.890,32.081
25.745,8.662,34.772
28.393,9.873,40.464
35.166,12.593,49.703
31.941,10.528,42.999
28.810,9.270,38.232
31.425,10.218,42.000
33.633,11.276,46.563
31.330,10.612,43.925
36.557,13.056,52.807
32.960,11.409,46.750
35.714,11.846,49.835
31.338,10.381,43.620
33.744,10.822,45.112
36.585,11.601,48.598
35.509,10.945,46.741
28.981,8.834,37.923
33.297,10.989,47.133
35.613,11.798,50.765
37.487,12.217,51.017