"","x913y121z96","x120y160z304","x430y159z82","x1154y160z50","x805y183z394","x554y378z239","x713y415z262","x342y469z326","x1054y487z112","x446y516z204","x806y521z231","x973y557z1315","x1147y530z140","x1066y559z247","x698y558z342","x453y569z253","x892y564z225","x188y603z229","x136y600z214","x395y614z116","x1118y610z148","x288y625z192","x768y644z125","x729y642z163","x745y68z59","x444y108z176","x746y120z194","x188y124z122","x699y257z234","x80y337z54","x254y345z175","x695y351z244","x1107y439z188","x281y459z214","x342y519z193","x887y518z103","x168y519z129","x242y539z163","x1044y543z152","x748y623z105","x929y69z166","x382y491z122","x1148y639z395","x1130y32z294","x425y207z128","x465y474z64","x750y234z257","x1050y356z502","x644y624z393","x1062y166z239","x597y527z867"
"1",96,304,82,50,394,239,262,326,112,204,231,1315,140,247,342,253,225,229,214,116,148,192,125,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",105,266,121,72,439,332,288,337,101,240,304,1438,173,292,361,307,306,299,250,139,144,225,111,139,59,176,194,122,234,54,175,244,188,214,193,103,129,163,152,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",133,311,157,76,529,319,312,308,138,251,335,1301,167,321,405,325,277,305,247,155,167,242,129,161,73,209,204,155,259,71,195,296,164,222,210,96,119,165,137,138,166,122,395,NA,NA,NA,NA,NA,NA,NA,NA
"4",147,306,192,74,559,328,319,318,144,291,372,1289,163,302,424,332,260,295,246,159,186,318,135,137,104,209,191,148,250,86,271,300,199,241,247,104,123,156,123,135,201,116,363,294,128,64,NA,NA,NA,NA,NA
"5",168,345,211,75,657,360,367,299,169,319,400,1393,173,326,473,397,284,276,284,166,188,386,182,179,134,253,252,170,313,100,299,354,173,292,265,79,131,173,152,163,214,127,449,370,158,80,NA,NA,NA,NA,NA
"6",160,342,245,66,654,361,425,324,151,405,430,1380,177,291,486,400,285,279,310,169,192,408,198,192,140,251,241,176,274,144,345,332,181,289,286,106,137,185,124,159,254,140,447,285,172,70,257,NA,NA,NA,NA
"7",193,410,270,80,728,418,554,300,165,425,518,1400,174,339,559,435,313,307,314,174,200,434,210,211,146,300,307,209,351,154,384,424,188,330,321,107,136,202,164,185,298,167,490,370,221,87,296,NA,NA,NA,NA
"8",179,378,287,84,747,408,513,324,163,467,544,1378,200,318,545,462,313,338,343,181,214,612,214,216,168,319,289,194,326,151,449,413,231,350,359,151,162,217,134,188,305,167,483,314,204,78,347,502,NA,NA,NA
"9",181,404,297,86,798,423,544,311,174,482,564,1393,204,331,573,490,347,344,371,194,213,656,226,218,188,335,323,204,346,164,496,426,226,365,382,165,179,222,134,188,311,172,597,306,224,80,367,488,393,NA,NA
"10",200,429,366,103,843,483,635,301,195,521,655,1436,213,348,620,514,369,384,378,217,214,712,252,226,205,376,380,216,407,174,531,454,249,388,429,175,163,231,154,201,310,183,579,346,254,86,437,593,446,NA,NA
"11",221,473,442,133,882,531,695,305,221,599,758,1486,220,367,667,567,402,423,430,240,229,778,254,238,256,410,455,239,451,216,572,476,256,434,507,227,186,255,162,214,367,197,597,367,299,92,509,599,478,NA,NA
"12",232,509,440,135,937,541,708,319,228,642,803,1515,223,382,698,591,409,438,448,251,242,831,285,254,270,431,465,248,442,209,556,488,280,450,547,223,215,275,148,203,369,198,628,323,314,90,576,638,502,239,NA
"13",243,555,501,160,1017,579,775,297,248,679,877,1534,236,392,755,789,439,464,471,293,254,850,300,261,325,463,540,268,496,232,557,489,307,456,619,253,257,280,160,210,431,203,630,360,341,101,658,713,544,309,NA
"14",255,601,548,180,1077,608,730,305,276,749,955,1566,250,406,798,814,460,486,502,335,271,885,310,262,370,510,585,287,490,279,546,554,346,485,690,267,270,295,158,210,482,205,658,318,363,101,718,727,617,329,NA
"15",272,664,578,173,1050,661,872,300,270,800,1392,1600,240,424,849,857,487,513,569,356,292,915,337,275,411,564,619,320,544,311,546,609,347,486,770,303,289,319,159,209,525,215,685,331,398,103,809,871,657,354,NA
"16",273,711,662,218,1119,705,924,304,292,850,1472,1521,265,434,897,683,516,577,553,392,317,961,356,282,508,584,626,338,551,361,563,655,391,473,821,354,321,328,147,219,559,227,703,306,400,101,863,817,686,391,867
"17",321,746,741,190,1114,774,1023,287,342,873,1581,1637,277,461,951,948,585,615,582,426,308,1015,NA,305,517,667,737,379,619,367,651,714,386,505,890,383,335,338,170,239,592,240,710,362,435,102,897,858,738,433,870
"18",341,812,808,213,1163,838,1116,292,375,919,1700,1603,310,483,1026,995,620,653,609,471,315,883,NA,328,567,746,803,380,633,387,632,762,434,520,988,400,350,334,180,234,619,289,751,375,466,104,922,731,729,502,899
"19",326,856,866,223,1189,1161,1184,286,376,942,1830,1649,321,492,1082,1035,636,645,682,502,340,1159,NA,NA,669,802,837,424,635,453,731,820,471,503,1113,430,397,359,166,NA,653,283,811,361,457,102,1068,637,850,510,956
"20",325,927,882,254,1293,1236,1240,NA,553,853,1979,1465,322,489,1182,NA,636,659,640,528,NA,1109,NA,NA,771,812,863,459,612,509,776,799,544,468,1427,445,428,340,NA,NA,730,304,1200,313,453,114,1164,917,853,523,983
"21",369,961,951,NA,1288,1263,1344,NA,579,1036,2057,1657,349,522,1270,NA,690,736,751,601,NA,1272,NA,NA,836,855,1000,497,649,505,793,842,524,512,1535,489,497,373,NA,NA,776,313,1194,379,498,103,1084,788,962,599,1033
"22",365,1028,1032,NA,1315,1314,1426,NA,633,1063,NA,1700,379,513,1297,NA,655,791,763,657,NA,1338,NA,NA,984,872,1048,511,631,668,849,1002,625,493,1672,514,585,380,NA,NA,829,304,1287,335,516,99,1258,774,1046,660,1076
"23",357,1123,1023,NA,NA,1427,1466,NA,NA,1099,NA,1688,362,NA,1439,NA,682,796,750,655,NA,1329,NA,NA,1035,971,1124,549,637,716,NA,1042,679,461,1701,523,633,353,NA,NA,866,329,1361,314,442,104,NA,970,1026,662,1066
"24",358,1190,1108,NA,NA,1628,1568,NA,NA,1157,NA,1828,418,NA,1499,NA,719,873,847,788,NA,1492,NA,NA,NA,1013,NA,559,NA,765,NA,1124,761,488,2150,567,709,423,NA,NA,922,NA,1358,324,477,98,NA,1017,1229,750,1168
"25",359,1272,1191,NA,NA,1690,1703,NA,NA,1229,NA,1864,446,NA,1587,NA,728,923,812,881,NA,1586,NA,NA,NA,1098,NA,621,NA,869,NA,1207,835,473,2078,600,797,423,NA,NA,1010,NA,1408,323,461,105,NA,1033,1268,820,1255
"26",361,1362,NA,NA,NA,1753,NA,NA,NA,1275,NA,1908,465,NA,1641,NA,753,966,853,963,NA,1620,NA,NA,NA,NA,NA,655,NA,977,NA,NA,894,466,2088,633,825,445,NA,NA,1091,NA,1436,299,NA,102,NA,1028,1345,891,1345
"27",393,1335,NA,NA,NA,1745,NA,NA,NA,NA,NA,2010,508,NA,1661,NA,818,1002,960,1054,NA,1727,NA,NA,NA,NA,NA,705,NA,1017,NA,NA,873,499,NA,676,841,463,NA,NA,1147,NA,1389,394,NA,101,NA,1004,1482,910,1473
"28",388,NA,NA,NA,NA,1870,NA,NA,NA,NA,NA,2157,557,NA,1777,NA,NA,1054,1004,1169,NA,1843,NA,NA,NA,NA,NA,NA,NA,1186,NA,NA,934,485,NA,NA,920,501,NA,NA,1244,NA,1475,389,NA,105,NA,1086,1581,974,1582
"29",383,NA,NA,NA,NA,1810,NA,NA,NA,NA,NA,1958,508,NA,1850,NA,NA,950,818,1017,NA,1569,NA,NA,NA,NA,NA,NA,NA,1646,NA,NA,1092,387,NA,NA,971,447,NA,NA,1277,NA,1554,311,NA,100,NA,1076,NA,1078,1548
"30",398,NA,NA,NA,NA,1554,NA,NA,NA,NA,NA,2149,598,NA,1974,NA,NA,NA,NA,1368,NA,1969,NA,NA,NA,NA,NA,NA,NA,1471,NA,NA,1112,472,NA,NA,1093,589,NA,NA,1314,NA,1520,383,NA,98,NA,1109,NA,1173,1711
"31",406,NA,NA,NA,NA,2061,NA,NA,NA,NA,NA,2319,615,NA,2063,NA,NA,NA,NA,1455,NA,2098,NA,NA,NA,NA,NA,NA,NA,1594,NA,NA,1179,475,NA,NA,1183,634,NA,NA,1388,NA,1619,351,NA,98,NA,1135,NA,1229,1776
"32",404,NA,NA,NA,NA,2219,NA,NA,NA,NA,NA,2443,569,NA,2183,NA,NA,NA,NA,1588,NA,2162,NA,NA,NA,NA,NA,NA,NA,1847,NA,NA,1307,461,NA,NA,1322,706,NA,NA,1617,NA,1713,326,NA,92,NA,1209,NA,1302,1942
"33",401,NA,NA,NA,NA,2192,NA,NA,NA,NA,NA,2606,630,NA,2266,NA,NA,NA,NA,1728,NA,2313,NA,NA,NA,NA,NA,NA,NA,2056,NA,NA,1383,NA,NA,NA,1411,774,NA,NA,1708,NA,1760,359,NA,100,NA,1142,NA,1323,2092
"34",390,NA,NA,NA,NA,2445,NA,NA,NA,NA,NA,2707,584,NA,NA,NA,NA,NA,NA,1864,NA,2211,NA,NA,NA,NA,NA,NA,NA,2233,NA,NA,1472,NA,NA,NA,1531,793,NA,NA,1956,NA,1893,306,NA,NA,NA,1214,NA,1455,2198
